ID;COTIS
300001;265.631891667
300002;212.505
300003;261.574
300004;315.559
300005;312.814
300006;377.007
300007;374.348
300008;175.698
300009;581.857
300010;597.724
300011;311.449
300012;391.022
300013;258.558
300014;216.712
300015;398.58
300016;183.271
300017;318.741
300018;589.862
300019;292.466
300020;390.086
300021;223.6694
300022;415.989
300023;505.731
300024;442.257
300025;318.339
300026;227.501
300027;305.423166667
300028;417.148
300029;213.247
300030;231.236
300031;415.628
300032;469.458
300033;312.32
300034;390.249
300035;363.2
300036;327.478
300037;190.265
300038;276.038
300039;291.748
300040;196.605
300041;330.036
300042;599.105
300043;299.7225
300044;455.925
300045;256.371
300046;324.91
300047;270.888
300048;211.423
300049;388.093
300050;248.809
300051;298.796
300052;283.061
300053;321.022
300054;370.533
300055;317.089
300056;341.24
300057;281.128
300058;429.048
300059;278.51625
300060;232.287666667
300061;396.257
300062;231.058
300063;163.777
300064;247.898
300065;289.43
300066;248.948
300067;428.354
300068;415.3783
300069;448.61
300070;274.405
300071;213.376
300072;362.269
300073;334.9
300074;482.311
300075;366.6
300076;345.577
300077;348.464
300078;349.6
300079;305.325
300080;267.639
300081;260.065
300082;283.537
300083;317.303
300084;373.181
300085;234.309
300086;245.192
300087;290.912333333
300088;287.562
300089;342.383
300090;232.91
300091;408.185
300092;245.269
300093;181.469
300094;317.442666667
300095;245.509
300096;368.143
300097;223.841
300098;543.813
300099;400.938
300100;275.994666667
300101;315.05
300102;289.7345
300103;501.612
300104;285.07375
300105;294.109
300106;281.917
300107;339.419
300108;321.899833333
300109;315.397
300110;513.004
300111;521.423
300112;306.981
300113;393.403666667
300114;302.54
300115;385.123
300116;283.356666667
300117;241.204
300118;631.786
300119;261.343
300120;253.629
300121;226.44
300122;491.249
300123;240.58125
300124;511.7396
300125;332.336
300126;327.106
300127;437.995
300128;275.028
300129;163.929
300130;321.986
300131;276.746
300132;260.28
300133;159.829
300134;321.498
300135;280.571
300136;225.4962
300137;201.087
300138;258.39
300139;301.837
300140;309.284
300141;513.77
300142;243.312
300143;255.7032
300144;305.621
300145;350.713833333
300146;432.039
300147;202.375
300148;403.894
300149;400.546
300150;187.688857143
300151;377.691
300152;340.554
300153;439.955
300154;311.098785714
300155;347.7925
300156;275.473
300157;403.419
300158;199.7585
300159;333.803
300160;222.266728571
300161;312.252
300162;283.812
300163;333.076
300164;381.421666667
300165;376.812
300166;215.527
300167;250.677
300168;306.646
300169;270.093
300170;216.898
300171;246.090333333
300172;366.432
300173;324.95135
300174;189.522
300175;304.387
300176;445.219
300177;501.869
300178;301.3035
300179;162.558
300180;264.559
300181;254.024
300182;239.441
300183;223.049
300184;199.722
300185;299.791
300186;248.088
300187;153.205
300188;272.265
300189;370.823
300190;239.91
300191;320.537
300192;323.282
300193;406.101
300194;297.778
300195;265.991
300196;307.408333333
300197;353.649
300198;213.478
300199;211.067
300200;428.947
300201;538.621
300202;359.992
300203;387.366
300204;287.014
300205;248.201
300206;254.8245
300207;386.927
300208;166.961166667
300209;267.944
300210;180.939833333
300211;199.366416667
300212;246.569
300213;464.661
300214;433.81
300215;198.135
300216;249.666
300217;239.106
300218;280.61
300219;325.467
300220;299.441
300221;429.14
300222;461.313
300223;252.617
300224;224.037
300225;346.045
300226;181.975
300227;284.317166667
300228;289.691833333
300229;321.271
300230;298.029
300231;533.61
300232;286.783
300233;354.463
300234;366.75715
300235;287.619
300236;254.938
300237;367.35
300238;523.404
300239;248.871
300240;341.21
300241;258.472
300242;293.470666667
300243;254.107
300244;378.347
300245;233.443
300246;610.412
300247;269.572
300248;300.392
300249;269.96
300250;375.856
300251;303.335333333
300252;300.425
300253;195.609
300254;305.741
300255;301.304
300256;276.757
300257;278.718
300258;369.434333333
300259;337.689
300260;256.208
300261;199.843
300262;206.007
300263;321.169
300264;270.906
300265;326.222
300266;270.219
300267;341.435
300268;321.108
300269;487.182
300270;255.0045
300271;435.972833333
300272;256.397
300273;361.84
300274;250.899
300275;294.548833333
300276;430.279
300277;391.528
300278;404.411
300279;326.703
300280;302.819
300281;292.457666667
300282;284.325
300283;330.083
300284;312.84
300285;315.224
300286;381.227
300287;307.759
300288;241.284
300289;363.321
300290;313.352
300291;404.525583333
300292;293.795
300293;361.142
300294;456.249
300295;366.889
300296;398.273
300297;278.4935
300298;231.866
300299;371.882
300300;377.267
300301;460.205
300302;475.927
300303;327.219
300304;386.474
300305;505.493
300306;527.8
300307;311.269
300308;259.827
300309;312.85
300310;366.115
300311;339.76
300312;370.0
300313;550.267
300314;295.894
300315;363.486
300316;288.719
300317;336.057
300318;263.907
300319;518.575
300320;476.842
300321;358.892
300322;384.177
300323;487.265
300324;374.2398
300325;446.815
300326;170.338
300327;319.685
300328;298.206
300329;269.592
300330;243.383
300331;351.309
300332;439.522
300333;410.41
300334;696.592
300335;280.984
300336;810.315
300337;504.491
300338;342.359
300339;310.842333333
300340;365.712
300341;308.755
300342;302.146
300343;211.688
300344;510.183
300345;344.884
300346;200.475
300347;330.481
300348;236.227
300349;264.075
300350;358.73
300351;194.023
300352;368.455
300353;406.076
300354;265.64
300355;324.524
300356;260.768
300357;260.406
300358;264.37
300359;257.057
300360;361.267
300361;296.275
300362;295.329366667
300363;285.513
300364;283.955
300365;332.678
300366;445.793666667
300367;297.122
300368;244.758
300369;469.226
300370;522.37975
300371;386.332
300372;312.944
300373;340.101
300374;287.293
300375;300.104
300376;332.317
300377;513.191
300378;272.2
300379;249.682
300380;256.541
300381;466.225
300382;542.047
300383;185.99
300384;221.642
300385;319.552
300386;387.735
300387;279.619
300388;309.896
300389;232.448
300390;304.24
300391;256.48475
300392;375.851
300393;402.01
300394;391.977
300395;274.51115
300396;294.212
300397;327.87
300398;382.843083333
300399;315.226
300400;367.26
300401;344.605
300402;242.809333333
300403;270.405
300404;318.49
300405;250.599
300406;788.614
300407;416.662
300408;345.624
300409;291.671
300410;331.935
300411;340.174
300412;415.852
300413;268.751
300414;251.347
300415;387.524
300416;364.321
300417;297.609
300418;223.096
300419;480.702
300420;321.187
300421;355.715
300422;402.791
300423;454.332
300424;347.377
300425;278.287
300426;295.1225
300427;355.675
300428;502.453
300429;498.825
300430;412.713
300431;513.184
300432;237.899
300433;349.3
300434;291.964
300435;234.022
300436;374.441
300437;458.055
300438;433.527
300439;424.019
300440;282.34
300441;247.784
300442;202.525
300443;364.431
300444;289.341
300445;316.118
300446;418.095
300447;377.687
300448;231.613
300449;356.64
300450;320.178
300451;342.012
300452;452.376
300453;363.2105
300454;499.369
300455;310.249
300456;205.467
300457;313.074366667
300458;346.574
300459;335.462
300460;259.415
300461;240.564
300462;247.4795
300463;400.446
300464;284.809
300465;205.278
300466;393.878
300467;227.881
300468;274.61
300469;535.175
300470;324.901
300471;269.466
300472;355.825
300473;333.25
300474;319.3946
300475;284.812
300476;336.715
300477;282.663
300478;210.262
300479;293.765
300480;300.364
300481;166.225
300482;349.723
300483;363.739
300484;226.815
300485;317.317
300486;230.28
300487;459.082
300488;396.325
300489;256.879333333
300490;253.622
300491;296.0856
300492;352.788
300493;449.295
300494;212.704
300495;594.721
300496;395.735333333
300497;314.156166667
300498;239.892
300499;282.418
300500;226.262
300501;298.103
300502;375.455
300503;332.742
300504;199.475
300505;421.481
300506;338.757
300507;204.681
300508;396.376
300509;212.529
300510;274.185
300511;363.686
300512;242.899
300513;470.131
300514;364.649
300515;255.333
300516;256.88
300517;277.608
300518;320.615
300519;311.965
300520;272.356
300521;243.128
300522;294.322
300523;271.753
300524;266.612
300525;336.9915
300526;332.627
300527;267.251
300528;283.077
300529;837.064
300530;525.362
300531;284.415
300532;620.287
300533;346.269
300534;268.443
300535;329.045
300536;281.531
300537;419.888
300538;266.728
300539;312.04
300540;256.39
300541;226.831
300542;376.247
300543;285.719
300544;554.098
300545;423.921
300546;450.002
300547;420.358
300548;411.434
300549;521.893
