ID;COTIS
300001;335.219467112
300002;236.605904959
300003;277.502814072
300004;349.174204306
300005;287.33639804
300006;408.354562078
300007;378.070042142
300008;199.11359461
300009;596.673132644
300010;545.364602635
300011;279.244894902
300012;351.229898605
300013;238.142716182
300014;199.671606827
300015;439.748459653
300016;156.75101925
300017;279.594128725
300018;528.776373363
300019;297.995784449
300020;352.419060028
300021;223.431423778
300022;381.025379589
300023;427.848807843
300024;344.63531725
300025;281.241083635
300026;215.956189075
300027;294.523797754
300028;378.936747173
300029;287.33639804
300030;233.973699436
300031;375.296985385
300032;401.795776536
300033;298.26291023
300034;378.813584744
300035;333.745724799
300036;307.525423051
300037;149.987314953
300038;302.730962621
300039;248.869199073
300040;225.049505174
300041;340.424938291
300042;494.393215846
300043;277.940232648
300044;488.093623632
300045;259.496879679
300046;294.523797754
300047;282.660718034
300048;220.066318096
300049;360.528959292
300050;279.418610693
300051;304.349044017
300052;291.240247297
300053;348.731766329
300054;366.686074338
300055;356.440515669
300056;350.1030432
300057;281.241083635
300058;413.490401129
300059;283.561993422
300060;277.409045385
300061;377.329866767
300062;202.217287115
300063;149.32230771
300064;314.225658775
300065;301.550268866
300066;234.188225147
300067;396.066446539
300068;363.019420033
300069;449.242382678
300070;282.728895461
300071;223.901689274
300072;353.742695988
300073;335.789893859
300074;488.129026803
300075;398.954184162
300076;321.644728799
300077;312.758870533
300078;344.718198642
300079;329.262700144
300080;264.850346225
300081;224.091744057
300082;285.862461272
300083;304.32394631
300084;349.133967889
300085;227.338060771
300086;231.794595079
300087;287.33639804
300088;286.805210778
300089;360.528959292
300090;237.145654284
300091;398.848216996
300092;221.524050352
300093;196.014104484
300094;363.574115376
300095;225.549476313
300096;391.05447094
300097;240.715911431
300098;541.042596306
300099;342.801938332
300100;299.936999507
300101;299.955518721
300102;286.596259811
300103;535.00443165
300104;276.228420426
300105;287.831386793
300106;281.638889669
300107;341.125716503
300108;286.898979464
300109;310.07480752
300110;535.00443165
300111;489.195092105
300112;286.898979464
300113;352.843689349
300114;341.125716503
300115;389.787083008
300116;287.831386793
300117;285.764491832
300118;601.987230725
300119;226.847303501
300120;238.456613214
300121;219.55663237
300122;505.788375414
300123;276.228420426
300124;541.467671485
300125;325.140126957
300126;321.528868496
300127;496.183264241
300128;276.228420426
300129;199.17251569
300130;280.398835457
300131;302.661478793
300132;302.661478793
300133;157.086365023
300134;352.472527838
300135;280.803665059
300136;277.09798447
300137;209.62183279
300138;277.502814072
300139;310.925109154
300140;282.304226101
300141;505.383545813
300142;292.867129156
300143;286.494149862
300144;322.745579684
300145;332.732952824
300146;399.602874742
300147;223.026594176
300148;350.801670002
300149;397.824324829
300150;199.671606827
300151;492.79989494
300152;329.371598847
300153;367.778594426
300154;359.828181081
300155;292.004446573
300156;294.761786326
300157;388.709561263
300158;199.671606827
300159;373.410515368
300160;221.214657028
300161;276.665839002
300162;302.730962621
300163;352.387881988
300164;363.574115376
300165;382.641289903
300166;219.752473859
300167;222.431277306
300168;298.483465546
300169;301.770106474
300170;235.381136955
300171;277.535403046
300172;357.608208305
300173;280.836254033
300174;171.503434096
300175;286.898979464
300176;403.664804864
300177;507.410752306
300178;296.964265582
300179;157.08451591
300180;219.752473859
300181;236.445716076
300182;286.931568438
300183;223.235582289
300184;194.030447673
300185;262.487241034
300186;286.823910053
300187;149.584607723
300188;279.523213243
300189;405.864878408
300190;223.235582289
300191;322.874154119
300192;333.745724799
300193;335.923830443
300194;296.111474581
300195;250.594468904
300196;341.24733418
300197;352.723227761
300198;233.827334131
300199;240.709640708
300200;463.431235377
300201;500.491988562
300202;401.659359709
300203;353.886010635
300204;279.158577058
300205;276.228420426
300206;286.494149862
300207;359.092610823
300208;197.686092109
300209;280.803665059
300210;197.517716609
300211;198.625975764
300212;209.681859687
300213;407.019021421
300214;421.158315495
300215;193.192993476
300216;223.88993198
300217;239.218118725
300218;288.583142495
300219;359.092610823
300220;280.803665059
300221;534.599602049
300222;439.296575601
300223;283.848821142
300224;276.971626809
300225;282.304226101
300226;201.261508322
300227;287.022141892
300228;278.934054073
300229;359.092610823
300230;292.975222814
300231;449.455982168
300232;312.169894626
300233;361.351105731
300234;293.889100799
300235;290.441655246
300236;299.04448881
300237;358.140594071
300238;631.248979221
300239;280.081869972
300240;289.038894597
300241;290.441655246
300242;282.304226101
300243;290.441655246
300244;376.833156465
300245;206.76423363
300246;610.257800624
300247;290.441655246
300248;290.588814888
300249;282.173490964
300250;370.968407972
300251;288.268805369
300252;279.282832774
300253;219.349766628
300254;292.930426262
300255;304.488262253
300256;292.559871557
300257;277.940232648
300258;366.466865586
300259;347.156403718
300260;241.124703387
300261;224.42708983
300262;226.847303501
300263;288.268805369
300264;286.898979464
300265;320.501837713
300266;241.241029723
300267;390.731035709
300268;285.253404058
300269;495.925594281
300270;280.519288548
300271;482.83311387
300272;240.429299912
300273;362.609182521
300274;265.112073137
300275;293.591390425
300276;362.609182521
300277;396.066446539
300278;363.019420033
300279;318.662378946
300280;312.385065062
300281;361.461366621
300282;282.451385743
300283;335.619414182
300284;318.096438672
300285;316.790176037
300286;387.482345361
300287;326.583058563
300288;257.665512357
300289;351.170451397
300290;253.040755362
300291;357.687116855
300292;286.792340099
300293;363.386789986
300294;473.752360261
300295;327.013745616
300296;366.56291191
300297;315.072858668
300298;236.605904959
300299;366.044036527
300300;377.665212541
300301;482.173867126
300302;507.484092798
300303;317.727717341
300304;361.337709235
300305;518.977616199
300306;518.977616199
300307;333.745724799
300308;253.903489799
300309;317.321363299
300310;377.410079791
300311;365.303861152
300312;401.05560116
300313;487.724197202
300314;313.831899885
300315;358.141194915
300316;271.575694382
300317;346.936941923
300318;276.553201321
300319;573.661978319
300320;484.498268729
300321;360.636931023
300322;348.030988117
300323;487.782544501
300324;352.204352378
300325;381.321328199
300326;156.595686427
300327;325.872498952
300328;333.708117623
300329;266.840475983
300330;245.52231045
300331;330.322755783
300332;460.952428877
300333;416.616907756
300334;634.341825416
300335;281.241083635
300336;717.976110714
300337;505.234756844
300338;333.228476197
300339;287.33639804
300340;380.871936644
300341;319.516090471
300342;322.950798125
300343;229.197303396
300344;505.935535056
300345;364.807914336
300346;222.795297147
300347;341.811661984
300348;223.901689274
300349;261.273567626
300350;364.472568563
300351;221.010721084
300352;365.708690753
300353;377.734696368
300354;293.18229289
300355;290.143565869
300356;282.451385743
300357;253.096210627
300358;283.158553964
300359;226.847303501
300360;366.56291191
300361;292.004446573
300362;280.519288548
300363;226.847303501
300364;225.4055656
300365;337.970666718
300366;458.384170598
300367;293.884718744
300368;244.49855179
300369;405.287493988
300370;463.05436533
300371;385.192576637
300372;382.532026537
300373;332.387856325
300374;304.537646879
300375;320.138429599
300376;333.56994131
300377;532.190529626
300378;285.898831296
300379;246.189388505
300380;224.091744057
300381;471.57540407
300382;518.96561266
300383;230.294749054
300384;228.853011153
300385;309.196083517
300386;391.90356715
300387;281.102635468
300388;293.122382456
300389;268.012218075
300390;292.56377954
300391;272.473624092
300392;334.285840456
300393;469.460686494
300394;416.692093315
300395;272.473624092
300396;266.979409636
300397;383.285006578
300398;414.379668667
300399;332.375543425
300400;358.311140735
300401;384.580107905
300402;268.526118709
300403;261.773168005
300404;319.637836755
300405;287.33639804
300406;753.978222826
300407;449.242382678
300408;379.59613382
300409;286.805210778
300410;302.174936076
300411;347.099980127
300412;425.771942169
300413;245.255354679
300414;231.822550732
300415;363.615020218
300416;400.294095649
300417;315.646375323
300418;280.709896372
300419;426.942606154
300420;304.185153858
300421;361.669910574
300422;381.726157801
300423;427.848807843
300424;370.696270511
300425;287.90710201
300426;294.523797754
300427;333.809241193
300428;531.779125009
300429;464.463118085
300430;401.570489461
300431;505.935535056
300432;223.235582289
300433;324.185275912
300434;290.952727222
300435;230.045467057
300436;323.815504129
300437;453.926435598
300438;434.463921414
300439;381.726157801
300440;238.456613214
300441;250.139217036
300442;220.40166387
300443;370.985905036
300444;301.190367549
300445;287.33639804
300446;410.66402403
300447;408.354562078
300448;220.764017906
300449;297.184448787
300450;293.591390425
300451;360.528959292
300452;476.635479976
300453;382.348496928
300454;446.943231977
300455;335.01936694
300456;220.066318096
300457;360.124129691
300458;308.197321535
300459;379.069620324
300460;266.464691159
300461;232.270994763
300462;223.431423778
300463;336.461134331
300464;280.519288548
300465;226.847303501
300466;340.578217069
300467;250.321579591
300468;317.194898769
300469;553.50637435
300470;305.658597677
300471;261.209057222
300472;370.968407972
300473;349.581413371
300474;297.995784449
300475;268.023640936
300476;360.528959292
300477;290.588814888
300478;224.42708983
300479;280.565872492
300480;338.799512778
300481;220.967848024
300482;328.362430365
300483;397.853127731
300484;228.517665379
300485;277.535403046
300486;225.384850947
300487;509.603461599
300488;374.044616182
300489;277.940232648
300490;218.179307741
300491;279.244894902
300492;367.185251037
300493;410.698691288
300494;222.204733701
300495;603.080190111
300496;380.802452816
300497;289.416621268
300498;240.958058297
300499;288.268805369
300500;223.36193995
300501;294.523797754
300502;323.55355457
300503;349.280711593
300504;227.772833318
300505;359.033651792
300506;330.483485555
300507;227.742585516
300508;355.912523639
300509;234.188225147
300510;297.268251114
300511;365.639206925
300512;250.174039419
300513;500.60492057
300514;340.741688883
300515;267.470947041
300516;292.004446573
300517;283.342354414
300518;304.480266968
300519;297.268251114
300520;267.589485884
300521;263.445521081
300522;320.890771266
300523;267.470947041
300524;267.605905669
300525;297.295006238
300526;336.42930135
300527;289.416621268
300528;279.512883436
300529;813.129780504
300530;507.076749566
300531;279.414210051
300532;548.454816512
300533;361.577663653
300534;281.49443328
300535;323.269518062
300536;268.88486915
300537;399.371122948
300538;309.39438098
300539;282.883888287
300540;290.441655246
300541;261.463907009
300542;334.770385041
300543;280.547970155
300544;496.183264241
300545;402.902277611
300546;433.722661481
300547;390.557868703
300548;402.867906434
300549;481.832486198
300550;280.081869972
300551;287.831386793
300552;281.638889669
300553;433.722661481
300554;369.668593454
300555;361.577663653
300556;492.974179999
300557;418.229391715
300558;532.866584629
300559;288.979202692
300560;549.199603264
300561;291.567027997
300562;506.929589924
300563;338.215092775
300564;456.358398409
300565;337.377959491
300566;387.672365433
300567;262.430804304
300568;557.674876969
300569;301.043207907
300570;439.209827092
300571;293.889100799
300572;532.866584629
300573;578.201142065
300574;291.05071246
300575;286.898979464
300576;390.799022519
300577;461.992827986
300578;496.183264241
300579;535.00443165
300580;427.484918811
300581;416.469748114
300582;560.361146591
300583;483.09078383
300584;295.803039062
300585;291.05071246
300586;295.803039062
300587;504.68408334
300588;301.828909415
300589;195.841803569
300590;197.116197214
300591;287.665609917
300592;278.807476326
300593;285.106244416
300594;508.688971681
300595;296.008082601
300596;300.566492311
300597;281.029832455
300598;344.894447128
300599;296.482578801
300600;285.751671654
300601;388.70526352
300602;293.889100799
300603;884.268799683
300604;345.225471893
300605;522.880878439
300606;437.913456015
300607;316.05878708
300608;365.725605652
300609;361.577663653
300610;277.09798447
300611;286.898979464
300612;359.99777203
300613;418.229391715
300614;573.748841174
300615;462.271997507
300616;256.113727476
300617;474.110043914
300618;248.304903737
300619;307.111620376
300620;465.953835487
300621;496.183264241
300622;522.880878439
300623;582.395596611
300624;321.802442247
300625;350.175229376
300626;456.12229338
300627;291.05071246
300628;473.270780664
300629;439.910605304
300630;397.492368599
300631;405.780180904
300632;483.09078383
300633;299.906059001
300634;280.803665059
300635;368.889565953
300636;394.308234579
300637;548.986003774
300638;540.65084324
300639;329.271973458
300640;432.443440212
300641;394.286906702
300642;293.492278886
300643;277.09798447
300644;468.003489364
300645;296.964265582
300646;298.789183608
300647;505.788375414
300648;291.05071246
300649;326.652648449
300650;286.898979464
300651;505.788375414
300652;631.248979221
300653;358.140594071
300654;516.417638605
300655;276.228420426
300656;384.964229826
300657;315.32045809
300658;296.964265582
300659;286.494149862
300660;254.61204659
300661;387.335618712
300662;575.811186192
300663;429.559414876
300664;299.591334179
300665;397.705968089
300666;483.09078383
300667;203.745285213
300668;374.744996142
300669;359.237607988
300670;534.599602049
300671;633.896514093
300672;500.052931327
300673;338.269680775
300674;505.788375414
300675;443.638116468
300676;317.959905166
300677;495.778434639
300678;522.880878439
300679;282.304226101
300680;276.228420426
300681;633.600565483
300682;266.45608858
300683;275.921069645
300684;539.600558161
300685;299.066598426
300686;261.463907009
300687;277.502814072
300688;455.918759116
300689;322.568739851
300690;261.463907009
300691;349.430442623
300692;296.55943598
300693;317.586203251
300694;429.643985473
300695;376.135463144
300696;634.301343695
300697;370.821248331
300698;292.155041956
300699;284.657589387
300700;536.889667772
300701;302.19508941
300702;268.93094831
300703;364.126597743
300704;302.412429246
300705;284.477278008
300706;281.879571552
300707;369.217355453
300708;409.169292125
300709;290.333585517
300710;199.17251569
300711;326.652648449
300712;282.304226101
300713;381.321328199
300714;287.772609976
300715;343.716629723
300716;514.111153082
300717;411.399718162
300718;162.642694118
300719;290.143565869
300720;415.371169869
300721;488.464372577
300722;362.005256348
300723;578.49108243
300724;513.739195077
300725;381.321328199
300726;355.287233563
300727;378.070042142
300728;351.181829678
300729;155.437150911
300730;218.839684848
300731;306.836890665
300732;399.928663211
300733;302.154232505
300734;288.633537363
300735;295.964823995
