id;annee_naissance;annee_permis;marque;puis_fiscale;anc_veh;codepostal;energie_veh;kmage_annuel;crm;profession;var1;var2;var3;var4;var5;var6;var7;var8;var9;var10;var11;var12;var13;var14;var15;var16;var17;var18;var19;var20;var21;var22
300001;1992;2011;RENAULT;4;2;97109;essence;2983;88;enseignant, formateur, chercheur;5;3;372;0;1;A;1;B1;60;151;2;890;3;N;0;1;0;20;2;0;1;0
300002;1991;2010;RENAULT;6;36;97109;essence;6496;50;enseignant, formateur, chercheur;6;5;272;0;1;C;1;M1;90;184;36;1055;5;N;0;4;1;20;1;0;1;0
300003;1976;1995;RENAULT;10;3;97109;essence;6971;50;enseignant, formateur, chercheur;21;2;372;1;1;C;7;H1;120;178;3;1215;5;N;7;1;1;21;1;0;1;0
300004;1976;1995;BMW;13;1;97109;essence;7293;68;enseignant, formateur, chercheur;21;5;372;1;1;B;1;M2;192;233;1;1330;4;N;0;1;1;22;1;0;1;0
300005;1984;2004;PEUGEOT;9;0;97109;essence;6982;50;enseignant, formateur, chercheur;12;4;272;2;2;C;1;M1;138;205;0;1219;5;N;2;4;1;16;0;0;1;1
300006;1990;2009;RENAULT;7;33;97109;essence;7000;100;ouvrier;7;5;272;0;1;B;1;M2;95;180;33;1225;5;N;0;4;1;16;0;0;1;1
300007;1980;1999;PEUGEOT;7;33;97109;essence;11451;100;ouvrier;17;4;272;5;1;C;1;M1;120;197;33;1457;5;N;0;4;1;17;0;1;1;1
300008;1965;1984;RENAULT;5;0;97109;essence;2906;54;educateur, animateur, moniteur;32;5;372;0;1;C;1;B1;75;168;0;845;3;N;0;3;1;18;0;1;1;1
300009;1971;1990;MITSUBISHI;6;2;97109;essence;6633;125;educateur, animateur, moniteur;26;4;372;2;2;B;1;M2;100;185;2;1100;4;N;0;1;1;20;0;0;1;1
300010;1980;1999;FORD;8;3;97109;essence;6657;112;educateur, animateur, moniteur;17;3;372;0;1;C;5;M1;125;198;3;1108;2;N;0;1;4;19;0;1;1;1
300011;1972;1991;PEUGEOT;11;0;97109;essence;11451;50;educateur, animateur, moniteur;25;4;372;0;2;C;6;M1;180;207;0;1457;3;N;1;3;4;20;0;1;1;1
300012;1989;2009;TOYOTA;4;26;97109;essence;2880;118;educateur, animateur, moniteur;7;1;372;0;2;B;1;B2;68;155;26;830;3;N;0;3;1;20;0;0;1;1
300013;1984;2003;OPEL;6;13;97109;essence;6587;50;educateur, animateur, moniteur;13;2;372;0;1;B;1;M1;90;180;13;1085;5;N;2;3;1;19;1;1;1;0
300014;1983;2002;FIAT;4;0;97109;essence;2915;50;agent, employe;14;2;272;2;1;A;1;B2;55;150;0;850;3;N;2;1;1;20;1;0;1;0
300015;1988;2007;RENAULT;4;0;97109;essence;3000;95;agent, employe;9;2;372;0;2;B;1;B2;60;160;0;900;3;N;2;3;1;21;1;0;1;0
300016;1990;2009;PEUGEOT;5;19;97109;essence;3008;50;agent, employe;7;2;372;5;2;A;2;B2;75;168;19;905;2;N;1;1;1;22;1;0;1;0
300017;1980;2000;PEUGEOT;6;20;97109;essence;6374;68;agent, employe;16;5;272;0;2;C;1;B2;75;171;20;1016;3;N;0;1;1;19;1;0;1;0
300018;1988;2007;CITROEN;5;40;97109;essence;6283;106;agent, employe;9;1;272;1;2;B;1;B2;74;169;40;987;3;N;0;4;1;19;2;0;1;0
300019;1991;2010;PEUGEOT;6;0;97109;essence;6779;50;agent, employe;6;4;272;2;2;A;1;B2;88;180;0;1149;5;N;0;1;1;19;2;0;1;0
300020;1982;2002;OPEL;7;0;97109;essence;3049;100;agent, employe;14;2;372;9;1;B;1;B2;90;180;0;930;5;N;2;4;1;20;2;0;1;0
300021;1985;2004;CITROEN;7;19;97109;essence;7056;50;agent, employe;12;3;372;1;2;A;10;M1;115;190;19;1245;5;N;2;1;1;21;2;0;1;0
300022;1983;2003;HONDA;7;34;97109;essence;6324;100;agent, employe;13;2;272;0;1;A;1;M1;115;188;34;1000;3;N;0;4;2;20;1;1;0;0
300023;1985;2004;OPEL;7;40;97109;essence;6957;112;agent, employe;12;1;272;0;2;C;5;M1;115;193;40;1210;3;N;2;4;2;21;1;1;1;0
