ID;COTIS
300001;308.447425803
300002;281.426468381
300003;261.250338681
300004;316.388971474
300005;269.867830661
300006;465.09182158
300007;429.104198913
300008;172.833363861
300009;515.749369989
300010;479.534007291
300011;261.690115284
300012;464.776305832
300013;269.293051499
300014;189.34235678
300015;394.984519619
300016;184.974427867
300017;325.046074914
300018;594.506514419
300019;281.426468381
300020;307.39419703
300021;269.867830661
300022;435.426907559
300023;485.117698464
300024;320.68049989
300025;262.663947032
300026;255.555573911
300027;273.945338961
300028;351.278143204
300029;269.867830661
300030;276.319671753
300031;372.685030421
300032;450.756900553
300033;352.805261996
300034;412.375468449
300035;427.162427173
300036;371.484647955
300037;178.55502248
300038;288.988693473
300039;292.664222608
300040;270.917250786
300041;319.812806275
300042;439.585064438
300043;261.250338681
300044;552.811551127
300045;291.89568858
300046;324.518101592
300047;316.346628565
300048;261.893249135
300049;323.365586966
300050;323.575362758
300051;336.675387519
300052;348.265960264
300053;394.677186673
300054;415.063420862
300055;410.201064348
300056;367.835053047
300057;264.481541814
300058;386.568892816
300059;326.12218747
300060;257.749263832
300061;428.640162765
300062;190.181648252
300063;184.091416148
300064;277.293343661
300065;279.782713946
300066;281.933211417
300067;362.427214657
300068;338.233891112
300069;488.786565281
300070;314.252671512
300071;269.403418486
300072;406.144022832
300073;371.149689438
300074;457.317296122
300075;327.252360421
300076;291.15623412
300077;288.681446644
300078;361.694113453
300079;362.498511826
300080;312.631828105
300081;264.711776004
300082;267.881697298
300083;359.098128657
300084;398.083606435
300085;272.05417347
300086;261.250338681
300087;269.566682392
300088;266.366755813
300089;323.365586966
300090;280.962056205
300091;450.756900553
300092;266.986610514
300093;177.438808604
300094;327.981677055
300095;269.805137384
300096;428.264614301
300097;283.850385602
300098;481.021685836
300099;393.235428691
300100;283.683192602
300101;280.962056205
300102;274.63813793
300103;465.562028555
300104;258.130663542
300105;269.403418486
300106;264.220135216
300107;316.925112084
300108;264.180393545
300109;290.286047933
300110;531.70038016
300111;430.419321551
300112;264.180393545
300113;326.310065007
300114;317.226260354
300115;359.156107789
300116;269.403418486
300117;270.75759102
300118;525.344010638
300119;272.840832601
300120;280.929692195
300121;257.749263832
300122;434.223853938
300123;258.130663542
300124;470.980748066
300125;289.083191593
300126;297.820504719
300127;427.001635399
300128;258.431811812
300129;184.091416148
300130;262.08916787
300131;288.413914311
300132;336.090220699
300133;233.319827172
300134;316.79335666
300135;262.362798763
300136;260.675559519
300137;203.831798736
300138;261.250338681
300139;312.151190809
300140;265.164976494
300141;481.773465842
300142;270.890478081
300143;269.293051499
300144;295.344724752
300145;302.134777379
300146;361.489328433
300147;269.293051499
300148;400.303422239
300149;455.120804115
300150;189.34235678
300151;583.533482355
300152;380.235635243
300153;423.311215373
300154;338.67676662
300155;273.209913429
300156;337.475456682
300157;412.375468449
300158;189.34235678
300159;500.333744496
300160;200.559643772
300161;258.431811812
300162;288.988693473
300163;403.341521672
300164;340.706310788
300165;453.397620452
300166;261.250338681
300167;201.396552951
300168;287.262678667
300169;279.439346892
300170;220.820768242
300171;260.675559519
300172;426.692220199
300173;263.906762652
300174;203.744138666
300175;269.867830661
300176;438.653593897
300177;440.239593929
300178;281.426468381
300179;195.929507804
300180;261.250338681
300181;276.387709013
300182;269.293051499
300183;266.366755813
300184;196.543487154
300185;266.463688092
300186;308.230055449
300187;183.189516141
300188;314.894698587
300189;353.187620646
300190;266.366755813
300191;359.353798838
300192;427.162427173
300193;305.074762438
300194;347.213467143
300195;248.399607791
300196;302.24441669
300197;401.958029372
300198;272.514144972
300199;275.501989059
300200;413.163733421
300201;470.980748066
300202;394.984519619
300203;329.673533499
300204;294.897173428
300205;258.431811812
300206;269.293051499
300207;336.090220699
300208;183.520523429
300209;264.481541814
300210;187.548341347
300211;232.942748937
300212;203.438287804
300213;363.45302272
300214;389.907303304
300215;180.402392584
300216;272.747291035
300217;281.426468381
300218;271.479394308
300219;323.365586966
300220;264.180393545
300221;465.562028555
300222;390.069666762
300223;265.391392415
300224;257.749263832
300225;264.711776004
300226;189.018746274
300227;272.747291035
300228;261.356499644
300229;323.365586966
300230;278.171926365
300231;471.304754007
300232;363.207945754
300233;413.100051844
300234;275.709664678
300235;272.387632111
300236;282.011635201
300237;332.622713432
300238;545.022260834
300239;262.40607864
300240;266.419604122
300241;272.387632111
300242;264.711776004
300243;272.387632111
300244;432.830768935
300245;195.929507804
300246;574.794410353
300247;272.387632111
300248;272.387632111
300249;262.199534857
300250;343.846773711
300251;269.403418486
300252;321.750181664
300253;262.362798763
300254;271.060115516
300255;281.022592678
300256;274.409751136
300257;261.250338681
300258;339.876895839
300259;395.718280054
300260;283.841119548
300261;265.164976494
300262;272.840832601
300263;269.403418486
300264;269.867830661
300265;323.064438696
300266;282.475888506
300267;359.941163869
300268;267.001343264
300269;428.640162765
300270;262.870331945
300271;418.155186782
300272;260.949190412
300273;324.415007091
300274;313.725185505
300275;323.064438696
300276;337.139640824
300277;366.798308622
300278;325.779974662
300279;296.808943728
300280;375.748247892
300281;335.625808523
300282;264.711776004
