ID;COTIS
300001;320.03745658
300002;224.487283073
300003;268.411595403
300004;348.598227494
300005;304.560420107
300006;404.753129819
300007;391.938011442
300008;178.204210232
300009;600.725076705
300010;548.456173592
300011;297.073240321
300012;365.448353003
300013;243.582658968
300014;205.174953069
300015;425.450407667
300016;178.980261945
300017;283.460252669
300018;529.313703458
300019;301.335092747
300020;372.815990914
300021;230.480462891
300022;396.514768851
300023;438.281191503
300024;351.672957763
300025;295.241467514
300026;232.095507427
300027;298.7977158
300028;385.261159355
300029;275.026573977
300030;252.226895682
300031;379.948854611
300032;402.322164214
300033;282.959880452
300034;383.451697046
300035;340.062096522
300036;306.197512411
300037;179.382690305
300038;306.813293807
300039;260.38207195
300040;217.371247593
300041;333.344794544
300042;493.099911684
300043;281.394334428
300044;484.54952869
300045;255.724860744
300046;296.218955957
300047;275.546357657
300048;224.93213376
300049;362.318360042
300050;263.218146425
300051;311.444655488
300052;275.455768708
300053;352.729615765
300054;364.498177307
300055;350.285716675
300056;365.766729247
300057;288.881926842
300058;423.342732365
300059;293.504766258
300060;266.027204592
300061;389.751708749
300062;217.97848093
300063;166.261525914
300064;295.530076973
300065;298.905563643
300066;239.448896027
300067;407.525259772
300068;363.024669519
300069;452.769154168
300070;295.299154388
300071;229.129457746
300072;357.943367242
300073;317.386662171
300074;488.693375626
300075;407.053170941
300076;329.316171282
300077;320.29869657
300078;350.563246307
300079;331.101188736
300080;261.786695592
300081;220.46107039
300082;288.444869604
300083;308.879025734
300084;354.00603705
300085;227.330010809
300086;220.170023208
300087;295.047321315
300088;300.345507046
300089;354.221193543
300090;241.581619863
300091;404.977180896
300092;218.665447869
300093;199.180031829
300094;339.813084434
300095;219.833008006
300096;405.213554124
300097;229.789223659
300098;539.913309679
300099;355.942867947
300100;294.152278567
300101;289.749037321
300102;293.434550416
300103;539.250526185
300104;286.947901062
300105;278.667269239
300106;269.237639889
300107;342.011653796
300108;294.013220324
300109;295.809613031
300110;539.250526185
300111;485.935093057
300112;295.047321315
300113;354.23111495
300114;324.820943138
300115;390.989065541
300116;278.667269239
300117;275.76172881
300118;601.297994744
300119;216.17000899
300120;240.922484043
300121;224.820579615
300122;505.663412454
300123;277.572404624
300124;538.913592785
300125;302.557099777
300126;307.913253291
300127;479.232487092
300128;297.073240321
300129;180.14361714
300130;293.277481102
300131;312.149400745
300132;312.149400745
300133;173.285277039
300134;331.705123907
300135;286.485646676
300136;269.754840886
300137;176.879248522
300138;262.968149442
300139;294.733280322
300140;289.873310227
300141;497.350707831
300142;273.088011974
300143;277.168558778
300144;308.509560026
300145;321.420356038
300146;403.49705263
300147;217.592988956
300148;366.678180566
300149;401.468410283
300150;174.238161503
300151;475.373113658
300152;318.527103061
300153;384.157244533
300154;341.319059768
300155;296.577623515
300156;286.974779586
300157;373.384742154
300158;217.887360964
300159;366.477876744
300160;204.493961165
300161;290.30935433
300162;302.148372859
300163;341.393632595
300164;365.877534585
300165;384.180609251
300166;220.533231603
300167;246.941063694
300168;292.046928013
300169;290.312125855
300170;206.959617657
300171;269.530631755
300172;346.541807232
300173;283.064202809
300174;168.952520728
300175;298.408774584
300176;410.036309095
300177;509.896035795
300178;308.895007418
300179;158.850014902
300180;234.078262315
300181;255.745103766
300182;277.168558778
300183;240.356120291
300184;155.135189565
300185;251.744864632
300186;280.406342804
300187;167.274394309
300188;262.398231634
300189;416.399610327
300190;240.356120291
300191;330.586542763
300192;340.843276365
300193;353.283687378
300194;301.490100825
300195;234.408383301
300196;348.948509906
300197;360.000993838
300198;225.604913229
300199;232.45043863
300200;482.846523473
300201;502.604331959
300202;408.030554441
300203;364.386882812
300204;282.330913661
300205;281.903390568
300206;270.623588745
300207;361.57478148
300208;183.13432461
300209;268.470690532
300210;174.238161503
300211;187.733595983
300212;221.824582715
300213;423.222781724
300214;422.311475474
300215;201.093083222
300216;230.145488842
300217;224.487283073
300218;263.775510436
300219;343.099541375
300220;289.738974728
300221;523.899641799
300222;451.094309544
300223;259.971798003
300224;265.524715237
300225;297.294987415
300226;181.86643237
300227;289.742278922
300228;286.754214091
300229;340.452251036
300230;300.672637458
300231;447.422622533
300232;317.083888518
300233;362.881663654
300234;305.839534389
300235;304.096464838
300236;285.969654686
300237;347.461775762
300238;625.533400121
300239;269.347119095
300240;300.983368268
300241;278.427735394
300242;271.626257971
300243;295.476020244
300244;384.892937723
300245;224.497214619
300246;611.401918956
300247;295.476020244
300248;293.576163086
300249;286.292645338
300250;368.039956064
300251;287.983601026
300252;278.603716475
300253;203.97455111
300254;296.828729958
300255;309.277769248
300256;294.16635412
300257;262.968149442
300258;357.562499586
300259;332.912395938
300260;244.094057003
300261;205.487025307
300262;208.759194681
300263;292.297048804
300264;289.488026219
300265;325.569188777
300266;248.793416433
300267;374.806064814
300268;301.726002113
300269;500.701644831
300270;285.044321919
300271;487.309348948
300272;249.946191471
300273;361.906546243
300274;264.887472608
300275;295.200455111
300276;366.206143161
300277;392.460427673
300278;374.561462153
300279;317.807881648
300280;316.052502366
300281;345.416130568
300282;300.055818171
300283;332.602030761
300284;314.697082496
300285;308.618552835
300286;386.340632274
300287;335.60770153
300288;265.329500044
300289;354.796034625
300290;245.624029945
300291;350.81825604
300292;302.876002993
300293;370.737597376
300294;490.747616779
300295;347.308463508
300296;382.347782224
300297;322.567772146
300298;242.858066617
300299;370.208679732
300300;382.650981197
300301;481.472261149
300302;508.779519707
300303;323.556274062
300304;358.543038432
300305;515.615108753
300306;515.615108753
300307;350.031936631
300308;246.357642629
300309;322.708724164
300310;381.957095642
300311;370.208679732
300312;390.639396148
300313;473.85595996
300314;309.412083363
300315;351.422650928
300316;285.753687333
300317;358.28149178
300318;272.144940136
300319;566.211531175
300320;473.78707519
300321;341.026597303
300322;345.02343756
300323;491.074669913
300324;368.155553113
300325;398.39195845
300326;154.410707532
300327;316.393545223
300328;337.569501111
300329;264.393831543
300330;247.571025572
300331;324.463753463
300332;466.197606326
300333;428.313305433
300334;629.123601519
300335;286.994981566
300336;723.784108502
300337;510.75278031
300338;338.455340807
300339;292.126275048
300340;374.630135188
300341;323.54063041
300342;316.584607499
300343;216.212307608
300344;508.529266701
300345;355.509822521
300346;220.639038598
300347;344.880935326
300348;227.583414099
300349;264.361276361
300350;360.246761279
300351;217.387772711
300352;364.253694574
300353;374.624566983
300354;274.046556013
300355;301.119374038
300356;287.988481882
300357;258.178557149
