ID;COTIS
300001;308.919086238
300002;228.269473764
300003;277.52707222
300004;335.825361643
300005;313.71229736
300006;373.256073138
300007;459.413905574
300008;179.714436477
300009;527.457890647
300010;497.555847785
300011;266.08960412
300012;351.533912003
300013;250.123021006
300014;218.204595984
300015;376.104913586
300016;178.396687157
300017;278.564084023
300018;483.910117843
300019;298.667987994
300020;519.296225453
300021;223.486244193
300022;414.896325159
300023;414.2674973
300024;353.455558646
300025;300.509106883
300026;254.312234361
300027;288.044419435
300028;387.098874199
300029;266.2775408
300030;215.856102906
300031;428.698448338
300032;447.964345941
300033;245.951115304
300034;406.902170291
300035;364.687890808
300036;320.311387778
300037;179.228933197
300038;326.571578988
300039;224.117344363
300040;208.357977619
300041;325.371944748
300042;536.237508574
300043;272.652736244
300044;442.092454443
300045;254.560053414
300046;290.410082124
300047;276.72369786
300048;227.621599369
300049;408.955121245
300050;250.55547909
300051;326.827558059
300052;273.612453882
300053;304.400551895
300054;374.637101601
300055;313.577383118
300056;374.077282886
300057;289.836267233
300058;447.178799996
300059;299.350570853
300060;251.614323326
300061;342.380285082
300062;229.96389027
300063;181.644087214
300064;322.401553749
300065;315.454013365
300066;218.087757991
300067;430.195350095
300068;441.083826722
300069;397.120454756
300070;300.196293745
300071;213.978543079
300072;319.949378123
300073;294.702737644
300074;483.601516538
300075;358.725454591
300076;307.206928287
300077;350.923799426
300078;354.02041687
300079;290.407689067
300080;232.093469489
300081;211.116489955
300082;283.704991247
300083;290.75463996
300084;325.526282366
300085;226.369077146
300086;241.572742045
300087;315.155659897
300088;315.018808747
300089;375.284233641
300090;256.087462391
300091;387.621394112
300092;248.336845743
300093;163.694152412
300094;389.787830288
300095;233.952677332
300096;437.900286027
300097;238.171985371
300098;559.842403385
300099;388.334631528
300100;248.315046585
300101;285.297112089
300102;275.649861147
300103;554.830075457
300104;294.660956118
300105;259.039769416
300106;313.880665796
300107;325.350807002
300108;277.627678341
300109;254.062592541
300110;570.745831342
300111;461.908890289
300112;314.945131082
300113;316.419730274
300114;313.888252574
300115;418.09349292
300116;268.895248383
300117;267.07649751
300118;606.808929052
300119;246.676474741
300120;227.758431343
300121;252.065512517
300122;491.667518418
300123;241.048752658
300124;456.943788535
300125;268.899638305
300126;316.937663129
300127;382.363248649
300128;287.753476202
300129;192.131669399
300130;293.266724776
300131;264.271969079
300132;304.000829228
300133;170.011879838
300134;330.258071694
300135;294.74546698
300136;229.872520316
300137;201.265172153
300138;291.455888862
300139;287.12915001
300140;315.554362041
300141;477.698502655
300142;269.267613196
300143;284.85728795
300144;281.765738289
300145;298.413271708
300146;423.003125866
300147;213.843017412
300148;395.230728556
300149;387.220789916
300150;195.185252396
300151;400.865431594
300152;332.601389622
300153;391.399861867
300154;299.452118348
300155;339.728997369
300156;300.018505527
300157;393.903375251
300158;176.813765948
300159;306.315662417
300160;229.046411478
300161;305.854244415
300162;265.610041417
300163;305.964430496
300164;390.08178038
300165;384.349541958
300166;238.705121231
300167;250.934378736
300168;306.999609175
300169;276.061523721
300170;204.901058679
300171;288.45375872
300172;315.674487224
300173;373.405306924
300174;200.811506118
300175;296.359114106
300176;432.52822753
300177;528.189183897
300178;299.007817204
300179;167.241520692
300180;242.551120666
300181;254.627191746
300182;269.192607616
300183;228.876151895
300184;199.828360327
300185;299.273631616
300186;244.194571959
300187;162.462188249
300188;265.098710087
300189;376.748048715
300190;225.162320093
300191;344.262259543
300192;438.641784395
300193;347.117401541
300194;296.355165503
300195;268.775175549
