ID;COTIS
300001;304.358474228
300002;222.827303738
300003;272.415316999
300004;330.340961225
300005;312.471543382
300006;392.114974611
300007;410.108945275
300008;180.18912114
300009;580.060405361
300010;509.240479202
300011;306.810807198
300012;360.597699381
300013;248.700854356
300014;200.517030248
300015;421.112378347
300016;175.238605851
300017;289.1451429
300018;551.867636883
300019;301.974544858
300020;385.818486996
300021;223.38767015
300022;414.73147096
300023;448.930251265
300024;370.235959978
300025;318.445084472
300026;238.560674362
300027;298.882511515
300028;386.025165961
300029;256.709313162
300030;252.035854774
300031;408.646297924
300032;409.713236097
300033;272.211973824
300034;398.459859414
300035;351.215869937
300036;317.838357863
300037;191.851103232
300038;289.701721473
300039;270.413574474
300040;208.337348552
300041;325.3700142
300042;515.903548002
300043;282.390202323
300044;462.505620421
300045;247.843032711
300046;307.796936041
300047;275.310961547
300048;227.119773308
300049;371.668574734
300050;256.524316655
300051;313.319579645
300052;264.931921831
300053;354.147385373
300054;360.401710105
300055;334.087647548
300056;372.327986336
300057;292.368161774
300058;453.417589359
300059;277.157397179
300060;253.16156733
300061;387.856815032
300062;204.633603299
300063;179.554712223
300064;297.48224522
300065;302.389449188
300066;215.139212992
300067;422.624535253
300068;365.408379851
300069;481.413900724
300070;296.090522499
300071;223.122749027
300072;362.45579137
300073;297.099098708
300074;506.689146847
300075;402.678404561
300076;339.989674453
300077;338.898164498
300078;353.659347516
300079;323.812098911
300080;259.138229553
300081;214.008248876
300082;296.76849091
300083;283.571236469
300084;338.564631868
300085;229.642251447
300086;227.516718075
300087;295.325627173
300088;295.81844888
300089;349.646408188
300090;238.008627414
300091;401.836116646
300092;217.142385609
300093;199.671809695
300094;334.433917018
300095;218.384126949
300096;422.544407559
300097;220.441323166
300098;521.694729311
300099;380.051337183
300100;279.949528463
300101;297.303272596
300102;297.275233874
300103;530.074676021
300104;297.215825998
300105;282.112534467
300106;264.565603486
300107;328.096136256
300108;309.904906698
300109;295.736466792
300110;519.882172997
300111;482.732360009
300112;292.923733063
300113;364.913730852
300114;319.204583302
300115;382.745415868
300116;272.632475195
300117;265.99157968
300118;622.1236982
300119;255.384145066
300120;244.20824026
300121;217.450820029
300122;466.495182748
300123;252.676387982
300124;504.575101612
300125;298.463886659
300126;304.825543371
300127;474.96159076
300128;297.908241271
300129;180.779735232
300130;289.16513201
300131;293.638822724
300132;280.841748611
300133;146.244714837
300134;341.136114724
300135;293.208266901
300136;249.576763096
300137;187.401559427
300138;268.620185549
300139;295.145921555
300140;284.858071008
300141;476.196124417
300142;271.959796214
300143;267.378482907
300144;304.557125036
300145;335.65785207
300146;409.572482447
300147;209.095008455
300148;378.646291731
300149;379.894858026
300150;181.597963896
300151;447.526845437
300152;330.148720922
300153;393.478385343
300154;326.6499888
300155;327.131598116
300156;292.15507079
300157;379.639163881
300158;182.515302615
300159;361.179834326
300160;212.18137848
300161;293.812167225
300162;276.953225229
300163;336.9023613
300164;379.862700375
300165;399.546789017
300166;207.663448574
300167;250.074301708
300168;290.685600836
300169;271.428605545
300170;218.503406281
300171;253.943878631
300172;342.636831828
300173;304.899872382
300174;176.139911211
300175;298.85940734
300176;426.280456329
300177;524.363993295
300178;312.709412344
300179;156.884157097
300180;234.55653483
300181;237.50400904
300182;265.263684708
300183;239.001340103
300184;183.333088133
300185;267.500577372
300186;261.540447805
300187;170.14749937
300188;254.865320674
300189;402.326403334
300190;243.81731032
300191;328.310755573
300192;355.407135497
300193;362.764172524
300194;297.5743518
300195;248.567932824
300196;342.898738673
300197;394.349127675
300198;222.121628497
300199;226.660225757
300200;477.893012675
300201;528.460875958
300202;398.657838912
300203;370.082956597
300204;291.982503669
300205;252.363501173
300206;269.7322488
300207;367.945430288
300208;178.694985719
300209;264.691754708
300210;180.570028641
300211;196.71693706
300212;225.015908497
300213;453.831198444
300214;453.839526065
300215;187.769394414
300216;234.638875637
300217;231.565979193
300218;277.588248981
300219;336.041609307
300220;304.680712261
300221;495.523149607
300222;476.09506679
300223;260.561950242
300224;250.89822837
300225;301.980981861
300226;182.402359948
300227;284.1171461
300228;294.913794806
300229;330.661127538
300230;303.941146709
300231;471.385725759
300232;316.323386283
300233;345.868156635
300234;336.235682972
300235;279.980752018
300236;268.964603811
300237;357.892321418
300238;583.388480677
300239;268.331997142
300240;315.035038989
300241;270.651906318
300242;267.81051303
300243;263.328109383
300244;382.556440832
300245;240.337535111
300246;625.882908685
300247;269.650953062
300248;300.912902706
300249;282.69644566
300250;344.330842421
300251;287.116704678
300252;269.638011911
300253;196.139105521
300254;301.807908488
300255;310.370864509
300256;292.530498022
300257;274.856765884
300258;352.859632109
300259;326.122630915
300260;247.566365004
300261;204.133872339
300262;210.543924589
300263;306.215700705
300264;277.882784572
300265;321.258695439
300266;236.856213744
300267;363.918291017
300268;317.600385442
300269;517.591807911
300270;278.041489867
300271;467.273695102
300272;251.711652119
300273;347.685733629
300274;259.532406124
300275;296.552272447
300276;390.318935486
300277;380.849493111
300278;382.470525065
300279;307.931649001
300280;315.173754905
300281;316.983886032
300282;305.219789644
300283;329.371128458
300284;306.035501965
300285;312.182332319
300286;368.71143145
300287;329.133904539
300288;264.841108131
300289;349.794690161
300290;253.291311346
300291;377.800436055
300292;314.73166692
300293;366.517388252
300294;490.284237939
300295;349.87556319
300296;402.3387201
300297;322.036109934
300298;237.651142337
300299;379.202701336
300300;387.432440334
300301;481.229639032
300302;503.519211817
300303;328.32951281
300304;360.225104134
300305;520.036209814
300306;520.709108963
300307;345.728218692
300308;250.0369574
300309;329.859172963
300310;378.100850403
300311;366.857584864
300312;382.609518649
300313;496.50378348
300314;312.364888832
300315;345.808944793
300316;295.184386212
300317;364.673059749
300318;275.732399689
300319;555.374206113
300320;473.763391987
300321;350.004633578
300322;343.972740196
300323;494.169703162
300324;379.18021224
300325;414.990063185
300326;165.256798447
300327;313.833091876
300328;324.430681365
300329;276.711122729
300330;242.345957091
300331;347.210236916
300332;461.993814014
300333;423.400904092
300334;629.776396791
300335;284.27816235
300336;754.208881016
300337;519.303437492
300338;343.948638757
300339;290.009600009
300340;387.650649208
300341;321.753114709
300342;293.724589195
300343;207.355414454
300344;516.758990869
300345;362.742766377
300346;210.206870577
300347;346.674538469
300348;233.046755683
300349;261.303215806
300350;331.656482069
300351;203.116615898
300352;361.888020576
300353;377.867478667
300354;265.766548289
300355;321.397297732
300356;283.804662814
300357;271.819145724
300358;276.301134572
300359;246.445322724
300360;365.947467962
300361;283.779595119
300362;299.453052256
300363;246.92486926
300364;234.624020327
300365;336.966442682
300366;476.438909045
300367;273.892017953
300368;226.721412792
300369;419.362988185
300370;483.911876935
300371;400.739080867
300372;349.346029446
300373;315.354332342
300374;286.894059432
300375;296.254097291
300376;301.021883742
300377;490.915777577
300378;262.679179004
300379;232.545863128
300380;256.9820166
300381;452.095583503
300382;494.791212764
300383;202.861579861
300384;210.04654683
300385;308.164102598
300386;384.506291093
300387;257.506553496
300388;284.72335592
300389;256.362295775
300390;276.366249255
300391;293.64996039
300392;340.379713787
300393;444.966359941
300394;393.216912603
300395;292.25723187
300396;292.486211839
300397;382.63097255
300398;405.671205671
300399;339.119021961
300400;369.207026967
300401;380.559965323
300402;267.940793652
300403;258.380997189
300404;317.471785562
300405;269.707239307
300406;794.679603305
300407;430.396458587
300408;375.720642429
300409;293.386976113
300410;319.749424098
300411;321.342532145
300412;429.556820833
300413;245.916652198
300414;223.240833515
300415;376.197500974
300416;378.902456212
300417;310.303390265
300418;252.408756257
300419;453.957540398
300420;322.338492163
300421;354.602381211
300422;385.762230263
300423;437.348457417
300424;361.293954416
300425;294.298560589
300426;287.922728622
300427;333.553070503
300428;530.682373235
300429;446.779755603
300430;401.773296432
300431;507.983796776
300432;221.263500157
300433;360.288058393
300434;291.004279128
300435;231.51018391
300436;302.25760929
300437;440.657379346
300438;446.65090995
300439;400.48473214
300440;251.820361356
300441;251.62128682
300442;210.628859066
300443;344.04574452
300444;331.595553852
300445;304.840925801
300446;416.472416709
300447;399.98407393
300448;236.574182393
300449;322.432861227
300450;314.246369352
300451;353.437499703
300452;450.385972861
300453;354.895655124
300454;455.719692784
300455;362.827090605
300456;206.007384324
300457;332.207952435
300458;320.402507698
300459;340.445161028
300460;261.481231871
300461;236.454313895
300462;242.035935111
300463;344.834293233
300464;277.728504594
300465;202.788079273
300466;369.540632728
300467;263.205119438
300468;293.720703538
300469;527.714196443
300470;323.376887962
300471;266.304470981
300472;347.080812726
300473;327.600230837
300474;305.101635338
300475;264.090263532
300476;355.390381796
300477;294.172360044
300478;206.838388176
300479;281.618110595
300480;311.8615817
300481;235.457635146
300482;349.320220021
300483;384.467842994
300484;226.285316522
300485;311.638292373
300486;202.744749391
300487;473.627458717
300488;396.170930277
300489;282.887723491
300490;216.402362272
300491;297.899525186
300492;337.636413638
300493;416.152822805
300494;224.557273496
300495;612.164173828
300496;392.566830828
300497;312.739512004
300498;243.543627646
300499;270.025584977
300500;223.920785111
300501;297.861652358
300502;340.442223402
300503;346.429471363
300504;216.78657319
300505;386.739318466
300506;325.69907959
300507;208.02467382
300508;375.253300612
300509;215.581349019
300510;294.4728173
300511;365.696901161
300512;224.813202791
300513;507.058574832
300514;332.992743357
300515;247.709452783
300516;264.72361114
300517;298.191427444
300518;324.45416654
300519;293.658843265
300520;275.812638906
300521;251.194834042
300522;296.053134542
300523;253.713297654
300524;277.361022184
300525;313.121722814
300526;351.383444629
300527;283.827499763
300528;284.36342024
300529;802.359817763
300530;534.931037634
300531;284.31625051
300532;576.440098828
300533;331.448606961
300534;261.571019675
300535;351.003538095
300536;262.772772923
300537;440.83124254
300538;291.822896508
300539;309.417460033
300540;277.09101059
300541;233.493463458
300542;358.175876282
300543;287.645529275
300544;524.67734547
300545;424.882542236
300546;461.166122243
300547;415.613760154
300548;411.530875734
300549;491.473942346
300550;255.023156167
300551;302.613685376
300552;307.623070235
300553;473.612413615
300554;388.833699316
300555;381.128348052
300556;531.112760708
300557;451.432510228
300558;523.545223593
300559;294.518348846
300560;560.081669578
300561;300.000469091
300562;477.52731448
300563;331.560662798
300564;461.491020579
300565;316.78355734
300566;406.342493688
300567;277.814560953
300568;560.459100834
300569;316.722343799
300570;454.017140489
300571;289.516761715
300572;526.865828098
300573;603.092970594
300574;297.683464425
300575;303.328525977
300576;405.819225143
300577;471.568422231
300578;483.431530777
300579;562.552534
300580;435.21675367
300581;465.349409431
300582;513.616903247
300583;545.685834124
300584;320.29040638
300585;332.092052964
300586;272.006263721
300587;480.643031275
300588;277.024885091
300589;189.771673256
300590;192.605907871
300591;262.361879414
300592;305.284435804
300593;291.415287658
300594;505.905071255
300595;269.640108728
300596;272.760157865
300597;268.333138433
300598;366.148784888
300599;276.394159128
300600;299.362116299
300601;419.201670192
300602;279.633270309
300603;865.711639776
300604;326.024604473
300605;494.51669756
300606;473.341564263
300607;324.775491038
300608;351.16414084
300609;362.096630619
300610;274.831215439
300611;265.755469146
300612;386.417966606
300613;411.031532009
300614;614.25771322
300615;452.82498105
300616;275.897335995
300617;499.899652729
300618;288.462859421
300619;319.247834846
300620;440.991884124
300621;545.192318193
300622;520.61794137
300623;560.806693986
300624;320.406644668
300625;366.241195886
300626;414.507767123
300627;288.864467962
300628;447.345317068
300629;439.167146866
300630;401.141761996
300631;456.781413822
300632;477.59091295
300633;282.203161054
300634;273.093139529
300635;341.008735368
300636;411.313235588
300637;575.920699663
300638;553.938700029
300639;359.102607619
300640;418.223941325
300641;391.82671926
300642;277.282452123
300643;301.54635957
300644;477.041914578
300645;293.02136747
300646;283.944451545
300647;480.588647003
300648;278.002749449
300649;333.43152238
300650;272.139270635
300651;496.710879969
300652;620.393235531
300653;363.026506983
300654;502.557445504
300655;267.446218813
300656;381.935123351
300657;288.419905962
300658;294.08269027
300659;267.905910992
300660;261.766911549
300661;408.841872543
300662;572.152469736
300663;482.003974025
300664;313.694927053
300665;364.651893223
300666;477.54623244
300667;184.509950824
300668;412.515819566
300669;376.346410739
300670;568.867397466
300671;691.438710448
300672;502.600654517
300673;348.037749498
300674;482.608260284
300675;450.483361469
300676;308.856200803
300677;487.424054742
300678;529.606632891
300679;299.972860622
300680;302.273578173
300681;606.42266626
300682;253.621169075
300683;253.496765348
300684;558.778765663
300685;261.017980255
300686;249.780623248
300687;279.585933813
300688;507.95309729
300689;337.607218696
300690;243.838755936
300691;342.285981185
300692;307.848524073
300693;311.410893207
300694;452.568506028
300695;377.253857479
300696;736.623372019
300697;415.4109954
300698;294.309946023
300699;269.426866978
300700;528.228810311
300701;282.590435925
300702;271.850234455
300703;373.462150633
300704;298.890652849
300705;272.771179388
300706;271.254548208
300707;368.921471886
300708;389.343020749
300709;267.30819205
300710;185.722623702
300711;304.599909372
300712;259.660379697
300713;383.956797495
300714;310.790143308
300715;355.533934078
300716;512.420776728
300717;418.76400576
300718;172.747402698
300719;275.579917018
300720;427.122456933
300721;496.117015826
300722;332.681779622
300723;587.256385325
300724;502.189395364
300725;398.895766392
300726;384.05541849
300727;349.580236391
300728;378.272436544
300729;165.198774281
300730;230.524963251
300731;312.536670159
300732;401.394188498
300733;300.632964472
300734;304.340083298
300735;276.855601068
300736;306.746204033
300737;207.48031986
300738;214.822435405
300739;284.647385921
300740;301.638715936
300741;483.76392467
300742;401.439513633
300743;214.196935364
300744;429.71961539
300745;361.797906538
300746;334.663841262
300747;313.354545001
300748;513.610159892
300749;251.997728822
300750;255.637158252
300751;234.464617614
300752;244.097334939
300753;427.688278881
300754;373.648283565
300755;489.175388061
300756;287.231985214
300757;374.617971454
300758;295.011698424
300759;313.6564094
300760;408.357858299
300761;316.413267077
300762;253.712665004
300763;251.179675664
300764;540.151861768
300765;310.232586858
300766;485.951986459
300767;378.942859058
300768;365.504357123
300769;394.6246038
300770;416.703677561
300771;308.363340761
300772;211.850856733
300773;313.488447439
300774;487.138520488
300775;318.029254449
300776;280.316330446
300777;487.132721039
300778;567.422063606
300779;395.795607586
300780;308.763564869
300781;377.029927601
300782;305.335060073
300783;481.935403702
300784;332.300912914
300785;888.992250862
300786;314.484473367
300787;327.682042906
300788;344.108726261
300789;349.327471983
300790;534.592932944
300791;321.924771534
300792;301.672205822
300793;267.906283251
300794;324.77290742
300795;324.77290742
300796;597.437955373
300797;426.060537657
300798;328.016927859
300799;500.619917824
300800;260.06045298
300801;319.74606166
300802;280.153748998
300803;302.122443856
300804;427.650445601
300805;260.576393859
300806;466.686572738
300807;522.75129467
300808;314.906478068
300809;350.172819221
300810;302.039707832
300811;304.912525484
300812;327.539434852
300813;377.980674564
300814;323.848066071
300815;770.917895641
300816;554.185883746
300817;370.67346111
300818;376.931244969
300819;308.146132148
300820;287.216388651
300821;301.118280201
300822;598.387223116
300823;570.621497952
300824;448.466097974
300825;526.262759945
300826;260.674258155
300827;347.271705407
300828;544.244113884
300829;683.400594411
300830;459.792993828
300831;286.93979527
300832;206.748676691
300833;283.152148049
300834;532.058708841
300835;318.98737244
300836;246.223771194
300837;485.100173627
300838;300.220762118
300839;371.258722646
300840;216.493264096
300841;861.609117424
300842;349.778268922
300843;248.733078148
300844;364.141732189
300845;214.100373626
300846;416.039536756
300847;276.95208063
300848;522.75129467
300849;268.153719347
300850;329.865872763
300851;203.16677789
300852;310.095947779
300853;352.687380774
300854;665.635270906
300855;511.732344495
300856;341.191363904
300857;347.271705407
300858;468.684350352
300859;437.461809587
300860;263.627198856
300861;299.867865152
300862;520.987832087
300863;259.430228366
300864;534.382621843
300865;306.006568377
300866;469.524287578
300867;509.297326888
300868;584.121873762
300869;459.186809665
300870;558.851646195
300871;286.689934149
300872;369.554367111
300873;278.076082606
300874;594.295188735
